Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1961","1961","1000 ha","5","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1961","1961","1000 ha","3","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1962","1962","1000 ha","5","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1962","1962","1000 ha","3","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1963","1963","1000 ha","5","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1963","1963","1000 ha","3","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1964","1964","1000 ha","5","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1964","1964","1000 ha","3","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1965","1965","1000 ha","5","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1965","1965","1000 ha","4","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1966","1966","1000 ha","6","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6650","Permanent crops","1966","1966","1000 ha","4","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","200","I","Imputed value",""
"RL","Land Use","225","United Arab Emirates","5110","Area","6621","Arable land","1967","1967","1000 ha","6","I","Imputed value",""
